numero_de_ordem,anomes,cod_ncm,pais_de_origem,descricao_do_produto,peso_liquido,vmle_dolar
OP-1000169,2024-12,30049099,INDIA,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES LOTE 540/24 EMBALAGEM PADRAO PALETIZADA,0.131,16.03
OP-1000221,2023-08,39012010,ARGENTINA,RESINA POLIETILENO DE ALTA DENSIDADE (PEAD) VIRGEM EM PELETS GRAU SOPRO INDICE FLUIDEZ 0.3 G/10MIN DENSIDADE 0.954 LOTE 291/21 EMBALAGEM PADRAO PALETIZADA,25509.98,23479.05
OP-1000451,2023-05,85372000,ITALIA,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A QUADROS, ETC, COM APARELHOS INTERRUPTORES DE CIRCUITO ELÉTRICO, TENSÃO > 1 KV",412.013,3753.79
OP-1000313,2024-04,62034200,INDIA,CALCA MASCULINA DE TECIDO PLANO 100% ALGODAO DENIM SARJA 3X1 PESO 12 OZ TAMANHOS DIVERSOS,73.452,1230.49
OP-1000188,2024-03,30049099,MEXICO,MEDICAMENTO PARA USO HUMANO A BASE DE CLORIDRATO DE ONDANSETRONA 8MG COMPRIMIDOS CX C/ 30 UNIDADES LOTE 470/21,0.085,17.6
OP-1000383,2023-08,87083090,ESTADOS UNIDOS,PASTILHA DE FREIO A DISCO DIANTEIRO ISENTA DE AMIANTO COMPATIVEL COM PICK-UP REF FP-882 JOGO C/ 4 PECAS EMBALAGEM PADRAO PALETIZADA,3.956,21.83
OP-1000311,2024-09,62034200,ALEMANHA,CALCA MASCULINA DE TECIDO PLANO 100% ALGODAO DENIM SARJA 3X1 PESO 12 OZ TAMANHOS DIVERSOS LOTE 669/24,114.821,1581.17
OP-1000225,2024-11,39012010,FRANCA,RESINA POLIETILENO DE ALTA DENSIDADE (PEAD) VIRGEM EM PELETS GRAU SOPRO INDICE FLUIDEZ 0.3 G/10MIN DENSIDADE 0.954 LOTE 286/22,26810.05,40511.76
OP-1000113,2024-10,85423919,CHINA,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V LOTE 690/21 EMBALAGEM PADRAO PALETIZADA,0.002,1.05
OP-1000125,2023-09,85423919,INDIA,AMPLIFICADOR OPERACIONAL DE BAIXO RUIDO DUPLO TIPO SOIC-8 ALIMENTACAO 5V A 15V LOTE 389/23 EMBALAGEM PADRAO PALETIZADA,0.002,0.94
OP-1000155,2024-04,85365090,ESTADOS UNIDOS,INTERRUPTOR SECCIONADOR ROTATIVO TRIPOLAR 63A 690V FIXACAO FRONTAL IP65 COM MANOPLA TRAVAVEL LOTE 386/21 EMBALAGEM PADRAO PALETIZADA,0.525,42.82
OP-1000290,2023-11,52083200,FRANCA,TECIDO DE ALGODAO 100% TINTO EM LONA LIGAMENTO TELA LARGURA 1.60 M GRAMATURA 280 G/M2 DESTINADO A CONFECCAO LOTE 106/23,362.216,3723.42
OP-1000465,2023-11,23099060,MEXICO,"ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A PREPARAÇÕES QUE CONTENHAM XILANASE E BETAGLUCONASE, COM SUPORTE DE FARINHA DE TRIGO, DOS TIPOS UTILIZADOS NA ALIMENTAÇÃO DE ANIMAIS",110.291,8962.86
OP-1000351,2023-01,18063210,JAPAO,CHOCOLATE EM TABLETES CONTENDO CACAU RECHEADO EM EMBALAGENS DE 100G PARA CONSUMO DIRETO LOTE 440/24 EMBALAGEM PADRAO PALETIZADA,320.286,1555.71
OP-1000148,2024-03,85044021,ESTADOS UNIDOS,FONTE DE ALIMENTACAO CHAVEADA AC/DC ENTRADA 100-240V SAIDA 24VDC 10A 240W MODELO HDR-240-24 TRILHO DIN LOTE 244/22 EMBALAGEM PADRAO PALETIZADA,0.768,62.57
OP-1000054,2023-08,84821010,ITALIA,ROLAMENTO DE ESFERAS RADIAL DE UMA CARREIRA REF 6205-2RS DIMENSAO 25X52X15 MM FOLGA C3 PARA MOTOR ELETRICO,0.139,8.4
OP-1000295,2024-10,52083200,INDIA,TECIDO DE ALGODAO 100% TINTO EM LONA LIGAMENTO TELA LARGURA 1.60 M GRAMATURA 280 G/M2 DESTINADO A CONFECCAO LOTE 880/22 EMBALAGEM PADRAO PALETIZADA,586.871,2702.98
OP-1000324,2023-09,22042100,ARGENTINA,VINHO FINO TINTO SECO ELABORADO COM UVAS CABERNET SAUVIGNON SAFRA 2022 TEOR ALCOLICO 13.5% VOL GARRAFAS 750ML LOTE 600/24,1455.029,4227.86
OP-1000140,2023-04,85044021,FRANCA,FONTE DE ALIMENTACAO CHAVEADA AC/DC ENTRADA 100-240V SAIDA 24VDC 10A 240W MODELO HDR-240-24 TRILHO DIN EMBALAGEM PADRAO PALETIZADA,0.774,67.18
OP-1000453,2023-03,87141000,CHINA,ITEM IMPORTADO CONFORME ESPECIFICACAO COMERCIAL DO FORNECEDOR RELATIVO A PARTES E ACESSÓRIOS DE MOTOCICLETAS (INCLUSIVE CICLOMOTORES),498.584,2017.62
