grupo,n_transacoes,cobertura_municipio,cnpj_basico,razao_social,nome_fantasia,confianca,fuzzy_score,palavras_chave,score
8081,12,1.0,02490757,"BSEIS PRODUCOES ARTISTICAS, COMERCIO E EDITORA LTDA",BATOM NA CUECA,baixa,1.0,BATOM,0.9024
8017,8,1.0,47307973,PERFUME PARIS LTDA,PERFUME PARIS,baixa,1.0,PERFUME,0.9016000000000001
7708,6,1.0,57411130,DINAMIKA CERAMICA AFETIVA COMERCIAL LTDA,DINAMIKA CERAMICA AFETIVA,baixa,1.0,CERAMICA,0.9012
1416,5,1.0,58085529,SCP CREDITO LINHA VERDE,SCP CREDITO LINHA VERDE,baixa,1.0,VERDE,0.901
5159,5,1.0,23159448,Y R HERNANDEZ COMERCIO DE CHARUTOS LTDA,YRH TABACARIA,baixa,1.0,CHARUTOS,0.901
10119,5,1.0,61802379,SENDO BENEFICIOS LTDA,SENDO,baixa,1.0,SENDO,0.901
24334,5,1.0,05753390,RESTAURANTE E PIZZARIA LOCOMOTIVA MINEIRA LTDA,,baixa,1.0,LOCOMOTIVA,0.901
13140,511,1.0,60387925,EDARGRAF EDITORA E ARTES GRAFICAS LTDA,,baixa,0.7,EDITORA LIVRO,0.88
2139,6,1.0,33534825,AGUA MARINHA,,baixa,0.9166666666666667,MARINHA ALGA,0.8678666666666667
12715,7,1.0,68777292,D2 CONTABILIDADE,D2 CONTABILIDADE,alta,0.896551724137931,CONTABILIDADE ENCOMENDAS RECIBOS APONTAMENTOS AGENDAS NOTAS,0.8600206896551724
14535,28,1.0,68789985,WS ARTESANATO,WS ARTESANATO,alta,0.8695652173913043,TASSELS RIBBONS ARTESANATO CARTELAS CORDAO PINGENTE,0.8534260869565218
14659,5,1.0,53268222,RESIDENCIAL JP,RESIDENCIAL JP,alta,0.88,BOUCLE FELPO RESIDENCIAL CARPETE TEXTURA CORTADO,0.8530000000000001
20453,14,1.0,50122500,+ CONEXAO,+ CONEXAO,alta,0.875,METALICA CONEXAO CAMINHOES LATAO VEICULOS UTILIZADO,0.8528000000000001
5252,7,1.0,31420313,PRIMEIRA QUALIDADE LTDA,PRIMEIRA QUALIDADE,alta,0.878048780487805,TRAVERTINO STANDARD PRIMEIRA CHAPAS MEDIDAS QUALIDADE,0.852619512195122
20462,10,1.0,50122500,+ CONEXAO,+ CONEXAO,alta,0.875,RETA LATAO CONEXAO CONECTOR DIAMETRO TUBOS,0.8520000000000001
11737,9,1.0,26988226,AN INTERIORES,,alta,0.8695652173913043,INTERIORES ORNAMENTAÇÃO OBJETO DECORATIVO AMBIENTES OBJETOS,0.8496260869565218
1298,9,1.0,48294188,RR EMBALAGENS,RR EMBALAGENS,alta,0.8695652173913043,AROMATIZADO AROMA PRETO EMBALAGENS VERDE ACONDICIONADO,0.8496260869565218
848,6,1.0,48294188,RR EMBALAGENS,RR EMBALAGENS,alta,0.8695652173913043,ESPINAFRE VERDE EMBALAGENS CONGELADO MILHO ACONDICIONADAS,0.8490260869565217
1894,21,1.0,37360023,FARINHA PADARIA LTDA,,alta,0.8571428571428571,CROISSANT PADARIA PIZZA FARDO FARINHA TRIGO,0.8470571428571428
21250,5,1.0,62235379,FLASH ACESSORIOS LTDA,FLASH ACESSORIOS,alta,0.8648648648648648,TRIPES ILUMINADORES CAMERAS TRIPE FLASH ACESSORIOS,0.846945945945946
27241,5,1.0,56134891,CP COMERCIAL,,alta,0.8571428571428571,NOVO PLASTICA FABRICACAO COMERCIAL PRODUTO MARCA,0.8438571428571429
5127,45,1.0,10859529,D COSTA,,baixa,0.8333333333333333,TOROS TORPEDOS COSTA RICA ROBUSTO CHARUTOS,0.8423333333333333
26062,23,1.0,11032280,G2 INSTRUMENTOS MUSICAIS LTDA,G2,baixa,0.84,TARRAXAS SELETORA PONTE MUSICAIS CAPTADORES INSTRUMENTOS,0.8406000000000001
13963,10,1.0,68043814,JM MONTAGEM,JM MONTAGEM,baixa,0.8421052631578948,PEDRINHA MONTAR BIJUTERIA PECAS PACOTE MONTAGEM,0.8388421052631579
26078,8,1.0,57901651,GB ELETRICA,,baixa,0.8421052631578948,GUITARRA ELETRICA SERIE MODELO MARCA,0.838442105263158
20045,6,1.0,51120994,RF COMPONENTES MECANICOS LTDA,RF COMPONENTES MECANICOS,baixa,0.84,AUTOPROPULSADA EMPILHADEIRA MECANICOS MASTRO PARAFUSO COMPONENTES,0.8372
23053,5,1.0,50115599,FW MAQUINAS INDUSTRIAIS LTDA,FW MAQUINAS INDUSTRIAIS,baixa,0.8333333333333333,PARAMAQUINAS INDUSTRIAIS MAQUINAS LIGA ZINCO MODELO,0.8343333333333333
20445,9,1.0,01998229,FREIOS UNIAO LTDA,,baixa,0.8275862068965517,FREIOS UNIAO INSERCAO LIGAS RETA ACESSORIO,0.8328344827586207
10302,9,1.0,12793660,AG MONTAGENS ELETRICAS LTDA,AG MONTAGENS ELETRICAS,baixa,0.826086956521739,TIMONERIA MONTAGENS CABINES LOCOMOTIVAS TRUQUE ELETRICAS,0.8322347826086957
9351,14,1.0,68007076,N6 DIGITAL,,baixa,0.8235294117647058,POLICROMATICO ALASER CYAN MAGENTA DIGITAL LASER,0.8322117647058823
14693,7,1.0,54992534,NS LIMPEZA,NS LIMPEZA,baixa,0.8235294117647058,MULTIÚSO PANO POLIÉSTER LIMPEZA TAPETE CAIXA,0.8308117647058822
806,5,1.0,54574305,L&M INDUSTRIA ALIMENTICIA LTDA,,baixa,0.8235294117647058,DESIDRATADA FLOCOS CEBOLA ALIMENTICIA DESTINADO INDUSTRIA,0.8304117647058823
14981,13,1.0,53057076,KRP PRESENTES,KRP PRESENTES,baixa,0.8181818181818181,DECORAÇÕES MMMATERIAL PRESENTES DECORATIVA DIVERSAS FITA,0.8298727272727273
18140,7,1.0,53272139,3G ROCHAS ORNAMENTAIS LTDA,,baixa,0.8181818181818181,RESINOIDES ROCHAS ORNAMENTAIS ABRASIVOS DIAMANTADO BENEFICIAMENTO,0.8286727272727272
25964,6,1.0,51134055,MOVIMENTO XAO,MOVIMENTO XAO,baixa,0.8181818181818181,PULSERIA QUARTZ ANALOGICO MOVIMENTO PULSO INOXIDAVEL,0.8284727272727272
22308,5,1.0,51134055,MOVIMENTO XAO,MOVIMENTO XAO,baixa,0.8181818181818181,ECOMPRIMENTO PNEUMATICO CILINDRO MOVIMENTO CARBONETO TUNGSTENIO,0.8282727272727273
8467,9,1.0,05095126,SKYLINE CENTRO DE TREINAMENTO AERONAUTICO E ADMINISTRACAO DE HANGARES E AERONAVES LTDA,EJ FLIGHT TRAINING CENTER,baixa,0.8148148148148148,AERONAUTICO PINO,0.827725925925926
11453,8,1.0,61584307,MADEIRA DECOR MOVEIS LTDA,MADEIRA DECOR MOVEIS,baixa,0.8125,DECOR FAROL MADEIRA,0.8266
4243,12,1.0,57232537,LUI SOBREMESAS LTDA,LUI SORVETES,baixa,0.8085106382978724,SORVETES SOBREMESAS PREPARO PREPARADO MORANGO PASTA,0.8258042553191489
26060,6,1.0,63543683,E1 ELETRO IMPORTADOS LTDA,E1 ELETRO IMPORTADOS,baixa,0.8095238095238095,IMPORTADOS RELACIONADOS ESSE CAPITULO ELETRO ESPECIFICOS,0.8250095238095237
7885,5,1.0,44382141,CI CIRCUITO IMPRESSO LTDA,CI,baixa,0.8095238095238095,TECLADO IMPRESSO CIRCUITO PLACA MODELO,0.8248095238095238
1971,6,1.0,42082147,TRB MASSAS ALIMENTICIAS LTDA,,baixa,0.8085106382978724,DURUM ALIMENTICIAS MASSAS SEMOLA PACOTES GRAMAS,0.8246042553191489
25431,39,1.0,19300038,HTK LENTES OFTALMICAS S.A.,,baixa,0.7906976744186046,OFTALMICAS FEITAS LENTES RESINA,0.8240790697674418
5680,5,1.0,53382545,HORTON LUBRIFICANTES INDUSTRIAIS LTDA,,baixa,0.8064516129032258,VIII ENQUADRAMENTO LUBRIFICANTES INDUSTRIAIS PETRÓLEO FORMULAÇÃO,0.8235806451612903
1313,13,1.0,59698819,EXPRESSO LPM,EXPRESSO LPM,baixa,0.8,CAPSULE TOST CAFFE EXPRESSO TORRA ACONDICONADO,0.8226000000000001
11018,11,1.0,55880068,IDENTIDADE LTDA,IDENTIDADE,baixa,0.8,CREDITO NICO IDENTIDADE RECONSTITUIDO DOBRA BOLSOS,0.8222
17890,10,1.0,28586807,WF FLORES,,baixa,0.8,PLASTCIO CAULE ESTANDO COMPOSTAS FLORES REVESTIDA,0.8220000000000001
23758,9,1.0,03047905,ONG INTEGRAR,ONG INTEGRAR,baixa,0.8,QSFP PLUGGABLE VERSA PROTEGIDOS INTEGRAR VICE,0.8218000000000001
1348,8,1.0,59698819,EXPRESSO LPM,EXPRESSO LPM,baixa,0.8,CAFEINADO RECARREGAVEL EXPRESSO COMERCIALIZADO ENVASADO ESPECIFICA,0.8216000000000001
2940,8,1.0,33872196,AJD COMERCIO,,baixa,0.8,PATE APROVACAO KATSUWONUS COMERCIO PELAMIS ALBACARES,0.8216000000000001
