co_tom,sh4,n_linhas,n_mun_candidatos,concentracao,cnpj_basico,razao_social,nome_fantasia,fuzzy_score,palavras_chave,confianca,score
8179,8208,110,1,1.0,52100859,ALEMAOZINHO FACAS LTDA,ALEMAOZINHO FACAS,1.0,FACAS,baixa,1.0
7107,6106,127,1,1.0,54877202,INTIMISSIMI LTDA,,0.8148148148148148,PHASES INTIMISSIMI ULLA FUEGO RIVIERA PERFORATED,media,0.9166666666666665
6001,3917,89,1,1.0,23449421,JJ ANESTESIA,,0.8571428571428571,DESGASIFICACAO AMOSTRAGEM ANESTESIA REFORCADO MATERIAS PLASTICA,alta,0.9137142857142857
6001,7304,157,2,0.9999966160999199,48032501,FDA APERFEICOAMENTO LTDA,,0.7692307692307692,APERFEICOAMENTO DECLARACAODA CLADEADO BENEFICIADO OLEODUTOS GASODUTOS,media,0.896152661788818
7107,3822,2994,1,1.0,28182195,MRS ENDOCRINOLOGIA LTDA,MRS ENDOCRINOLOGIA,0.7567567567567568,UIBC ENDOCRINOLOGIA FRUCTOSAMINE RHEV FERENE MOULDS,media,0.8905405405405404
7107,6107,122,1,1.0,46861263,H CERIMONIAL LTDA,H CERIMONIAL,0.7407407407407408,FUGIW FSGXN ADORACAOEM CERIMONIAL HASAN TRADITIONAL,baixa,0.8833333333333333
8179,5404,194,1,1.0,66638869,ARTEMIS LTDA,,0.736842105263158,ARTEMIS MONOFILAMENTOS DURA FLUORESCENTE FLUOROCARBON CARRETEL,baixa,0.881578947368421
6875,7228,130,1,1.0,08461885,CONSTANTE ARTHUR,,0.72,OISO TREFILADA CRNI RETIFICADA TODO CONSTANTE,baixa,0.8739999999999999
7107,7010,1259,1,1.0,38152133,GALIL AROMATIZADORES LTDA,,0.717948717948718,MAROK ARODE PARAVEDAR AROMATIZADORES ACONDIONAMENTO PURION,baixa,0.8730769230769231
7107,5905,275,1,1.0,50582277,VERSO SCP,,0.7142857142857143,CASELIO SUPERFICIO LINN KONOTORI PERMITA VERSO,baixa,0.8714285714285714
