co_tom,sh4,n_linhas,n_mun_candidatos,concentracao,cnpj_basico,razao_social,nome_fantasia,fuzzy_score,palavras_chave,confianca,score,concordancia_cluster,maior_cluster_n,score_final
6001,3917,89,1,1.0,23449421,JJ ANESTESIA,,0.8571428571428571,DESGASIFICACAO AMOSTRAGEM ANESTESIA REFORCADO MATERIAS PLASTICA,alta,0.9137142857142857,0.24719101123595505,22,0.9384333868378812
7107,4017,14,1,1.0,92753268,STEMAC SA GRUPOS GERADORES,,0.9387755102040817,HOLZ STEMAC ANTIVIBRATÓRIO KSCIV GRUPOS GERADORES,alta,0.8004489795918368,0.5714285714285714,8,0.857591836734694
7107,7009,6,1,1.0,64780615,ESPELHO RETROVISOR LTDA,ESPELHO RETROVISOR,0.878048780487805,ESPELHO RETROVISOR MOLDURA ELÉTRICO ESQUERDO,alta,0.7571219512195122,0.5,3,0.8071219512195122
7107,6106,127,1,1.0,54877202,INTIMISSIMI LTDA,,0.8148148148148148,PHASES INTIMISSIMI ULLA FUEGO RIVIERA PERFORATED,media,0.9166666666666665,0.11023622047244094,14,0.9276902887139106
6001,7304,157,2,0.9999966160999199,48032501,FDA APERFEICOAMENTO LTDA,,0.7692307692307692,APERFEICOAMENTO DECLARACAODA CLADEADO BENEFICIADO OLEODUTOS GASODUTOS,media,0.896152661788818,0.2484076433121019,39,0.9209934261200282
7107,3822,2994,1,1.0,28182195,MRS ENDOCRINOLOGIA LTDA,MRS ENDOCRINOLOGIA,0.7567567567567568,UIBC ENDOCRINOLOGIA FRUCTOSAMINE RHEV FERENE MOULDS,media,0.8905405405405404,0.1062124248496994,318,0.9011617830255104
8785,5701,9,1,1.0,87793089,MUNDIART SA,MUNDIART,0.8421052631578948,FIGURATIVAS NODADOS EMOLDURADAS TEMAS MUNDIART ABSTRATO,media,0.7469473684210526,1.0,9,0.8469473684210526
6001,9206,15,1,1.0,02673885,CONTEMPORANEA LTDA.,,0.8125,TAMBORIM CONTEMPORANEA PANDEIRO BAQUETA CHOCALHO VERNIZ,media,0.745625,1.0,15,0.845625
6001,6912,53,1,1.0,34249794,FAVELA INC,FAVELA INC,0.75,QUARTIER FAVELA TURISTICOS SPITZ FITINHO FAUNA,media,0.7935,0.4528301886792453,24,0.8387830188679245
8175,4808,6,1,1.0,53492612,JK ISOLAMENTO TERMICO LTDA,,0.8181818181818181,ISOBEST RUGOSO ISOLAMENTO ISOLANTE TERMICO ROLO,media,0.7301818181818182,1.0,6,0.8301818181818181
6001,4602,5,1,1.0,68481231,TRADICIONAL CHINELOS LTDA,,0.8095238095238095,TRADICIONAL CESTA,media,0.7242857142857143,1.0,5,0.8242857142857143
0003,7229,3,1,1.0,48539104,A LIGA,A LIGA,0.8,COMPONENTS LISO PEDIDO LIGA ITEM,media,0.716,1.0,3,0.816
7885,7214,20,1,1.0,54488252,BR INTERNACIONAL LTDA,,0.7647058823529411,REMALHEIRA CREMALHEIRAS PINHOES INTERNACIONAL LAMINACAO BRUTA,media,0.7341176470588235,0.8,16,0.8141176470588236
7107,9703,33,1,1.0,05940915,A. LESCHER,,0.8235294117647058,LESCHER ROMAGNOLI AUTORA EXLP NATIVITY VOLCANIC,media,0.7865882352941176,0.24242424242424243,8,0.8108306595365419
7107,9005,15,1,1.0,03220438,EQUATORIAL S.A.,,0.8,ASTRONOMICO GREIKA EQUATORIAL BAFRLOW ERETORA BARLOW,media,0.74,0.6666666666666666,10,0.8066666666666666
8599,2519,6,1,1.0,29477592,MC REVESTIMENTOS LTDA,,0.7647058823529411,ATRITANTE PORCENTO GRANULAR LONAS MAGNESIO REVESTIMENTOS,media,0.7061176470588235,1.0,6,0.8061176470588235
7145,8421,3,1,1.0,04536133,SOROTEC COMERCIO MANUTENCAO E INSTALACAO DE EQUIPAMENTOS PARA POSTOS DE COMBUSTIVEL LTDA,SOROTEC,0.7586206896551724,COMBUSTIVEL FILTRO,media,0.6973793103448276,1.0,3,0.7973793103448276
7535,8527,34,3,0.9916315718749911,02539160,LK RADIODIFUSAO LTDA,,0.75,DEREPRODUCAO FUNCOESTAIS INTERFACECOM REPLICACAO RADIODIFUSAO ESTRATEGIAS,media,0.7525710501562468,0.4411764705882353,15,0.7966886972150703
8291,4012,3,1,1.0,80686025,CONTINENTAL GRAFICA E EDITORA LTDA,SANTINHOS DO BRASIL,0.8148148148148148,CONTINENTAL FITA,media,0.7226666666666666,0.6666666666666666,2,0.7893333333333332
6213,8413,21,1,1.0,51477793,LEGACY S.A,,0.75,SUBARU MOTOSSERRA LEGACY EMBOLO TRANS RENAULT,media,0.7295,0.5714285714285714,12,0.7866428571428572
6001,4808,5,1,1.0,40107764,PAPER BLUE COMERCIO DE PAPELAO E PAPEL LTDA,,0.8125,PAPELAO PAPEL CAIXA,media,0.725625,0.6,3,0.785625
8801,7616,18,1,1.0,47352031,AF TELECOMUNICACAO LTDA,,0.7894736842105263,OSLO ASNA PRATELEIRAS TELECOMUNICACAO BANDAS SERVIDOR,media,0.7412631578947368,0.3888888888888889,7,0.7801520467836257
7107,8442,4,1,1.0,21749556,CHAMIX COMERCIO DE EXAUSTAO E VENTILACAO LTDA,,0.7619047619047619,EXAUSTAO TUBO,media,0.7008571428571428,0.75,3,0.7758571428571428
6001,1806,12,1,1.0,08784041,TALENTO S/A,,0.7777777777777777,TALENTO NIBS GAROTO TABLETE AMENDOAS BOMBONS,media,0.724,0.5,6,0.774
6001,1704,3,1,1.0,08784041,TALENTO S/A,,0.7777777777777777,GAROTO TALENTO TABLETE CHOCOLATE,media,0.706,0.6666666666666666,2,0.7726666666666666
8327,7610,3,1,1.0,57918087,MFX CORTINAS E PERSIANAS LTDA,MFX CORTINAS E PERSIANAS,0.7659574468085105,RCAS OYSTER PERSIANAS BOTTOM CORTINAS PAREDES,media,0.7006808510638297,0.6666666666666666,2,0.7673475177304964
6511,8101,3,1,1.0,01826977,TP REVESTIMENTOS LTDA,TP REVESTIMENTOS,0.7647058823529411,TUNGTEC ECOPACK AÇOS TUNGSTÊNIO REVESTIMENTOS NÍQUEL,media,0.7001176470588235,0.6666666666666666,2,0.7667843137254902
7107,8545,10,1,1.0,17006102,EXCLUSIVA LTDA,,0.782608695652174,BUSH ESCOVA OFFSET CARVAO CONSUMO EXCLUSIVA,media,0.7221739130434783,0.4,4,0.7621739130434784
7107,7014,8,1,1.0,52406857,AUXILIAR S/A.,AUXILIAR,0.7619047619047619,MUSTANG MILHA FUSION VOLVO NEBLINA AUXILIAR,media,0.7088571428571429,0.5,4,0.7588571428571429
6875,8512,3,1,1.0,57670356,NSA PIRACICABA COMERCIO DE ILUMINACAO E MATERIAL ELETRICO LTDA,NSA ILUMINACAO,0.8085106382978724,ILUMINACAO APARELHO ELETRICO,media,0.7198297872340426,0.3333333333333333,1,0.7531631205673759
6619,4013,4,1,1.0,21219880,F5 EMPILHADEIRAS LTDA,,0.7647058823529411,SUBSTITUI TUBELESS EMBUTIDA RADIAIS EMPILHADEIRAS PROTETORES,media,0.7021176470588235,0.5,2,0.7521176470588236
7107,9007,7,3,0.9947842874713915,15232740,FIO CINEMATOGRAFICA LTDA,FIO CINEMATOGRAFICA,0.7692307692307692,CAMCORDER CINEMATOGRAFICA CINEMA SONY CARTÕES PROJETOR,media,0.7083283467688332,0.42857142857142855,3,0.751185489625976
7099,5906,4,1,1.0,72905136,J M YAMAUCHI,,0.8,YAMAUCHI PALPEBRAS SEPARAR CILIOS TAPE ESTA,media,0.718,0.25,1,0.743
7107,3917,4,1,1.0,12484402,FFM ESPORTES,,0.8,SLEEVING KITE AQUÁTICO PRÁTICA SPARE ESPORTES,media,0.718,0.25,1,0.743
7145,6807,4,1,1.0,46838370,RPG IMPERMEABILIZACAO LTDA,RPG IMPERMEABILIZACAO,0.7906976744186046,IMPERMEABILIZACAO MEMBRANE ALUMINUM AUTOADESIVA MEMBRANA VAPOR,media,0.7138139534883721,0.25,1,0.7388139534883721
7107,6209,3,1,1.0,48307337,PLANO  CD,,0.7692307692307692,MARCAGAP SUMMER MEIAS BEBE ELASTANO PLANO,media,0.7021538461538461,0.3333333333333333,1,0.7354871794871795
7107,2843,3,1,1.0,38133105,CIRCUITO LTDA,,0.7619047619047619,PASTA RISCO CIRCUITO,media,0.6988571428571428,0.3333333333333333,1,0.7321904761904762
8589,8431,10,1,1.0,24292463,LD EMPILHADEIRA LTDA,LD EMPILHADEIRA,0.75,OHSPL REPOSICAO ALCA AUTOPROPULSADA EMPILHADEIRA TUBOS,media,0.7075,0.2,2,0.7275
8599,2839,4,1,1.0,29477592,MC REVESTIMENTOS LTDA,,0.7647058823529411,SILICATO MODIFICADOR TALCO LONAS REVESTIMENTOS MAGNESIO,media,0.7021176470588235,0.25,1,0.7271176470588235
9051,6211,4,1,1.0,43470566,SHOULDER S.A.,,0.7619047619047619,CANGA SHOULDER NECESSAIRE DETALHE ACONDICIONADA COMPOSTA,media,0.7008571428571428,0.25,1,0.7258571428571429
7075,8513,4,1,1.0,48126779,2W RECUPERADORA DE FAROL LTDA,2W RECUPERADORA DE FAROL E LANTERNA,0.7619047619047619,ATEX LANTERNA,media,0.7008571428571428,0.25,1,0.7258571428571429
7107,2001,11,1,1.0,43102229,LEGUME S/A,LEGUME,0.75,GREENHOUSE CSEMEGE UBORKA CAPERS ALCAPARRA LEGUME,media,0.7095,0.09090909090909091,1,0.7185909090909091
6001,6110,6,1,1.0,22078263,M.M MERINO,M.M MERINO,0.75,ACRLICO MERINO POLISTER OSKLEN LISTRAS FARM,media,0.6995,0.16666666666666666,1,0.7161666666666667
7107,4911,6,1,1.0,66400793,TEC-CI SOLUCOES EM CIRCUITOS IMPRESSOS LTDA,,0.75,FIONA IMPRESSOS,media,0.6995,0.16666666666666666,1,0.7161666666666667
8179,8208,110,1,1.0,52100859,ALEMAOZINHO FACAS LTDA,ALEMAOZINHO FACAS,1.0,FACAS,baixa,1.0,0.2545454545454545,28,1.0254545454545454
7107,6107,122,1,1.0,46861263,H CERIMONIAL LTDA,H CERIMONIAL,0.7407407407407408,FUGIW FSGXN ADORACAOEM CERIMONIAL HASAN TRADITIONAL,baixa,0.8833333333333333,0.45901639344262296,56,0.9292349726775956
4371,2519,203,1,1.0,08684547,MAGNESITA REFRATARIOS S.A,,0.6111111111111112,MAGNESIA ELETROFUNDIDA REFRATARIOS GRANULOMETRIA CROMITA APROXIMADA,baixa,0.825,0.9605911330049262,195,0.9210591133004926
8089,5807,230,1,1.0,51654313,VERSAR TRADUCOES LTDA,,0.6,WLZWPRD PAEO CLZCDEN PATR TRADUCOES AALTA,baixa,0.8200000000000001,1.0,230,0.92
6713,2507,9532,1,1.0,52553245,ASR CERAMICA LTDA,CERAMICA VILA SUICA,0.6,CAULÍNICA ARGILA CAULINICA VELA CAULINÍTICA CERAMICA,baixa,0.8200000000000001,0.9998950902224087,9531,0.919989509022241
6713,6807,140,1,1.0,64377481,JR ACUSTICA LTDA,JR ACUSTICA,0.6666666666666665,ASFALTICA ASFALTICO MANTA ACUSTICA ACUSTICO FACES,baixa,0.8499999999999999,0.6571428571428571,92,0.9157142857142856
